c,L,instance,realization,payoff
0.5,12,1,0,1033.3455182017947
0.5,12,1,1,1007.2465891574983
0.5,12,1,2,1033.724406326937
0.5,12,1,3,1027.8206215687096
0.5,12,1,4,1050.8567613511764
0.5,12,1,5,990.6019497438062
0.5,12,1,6,1015.2644104532508
0.5,12,1,7,1035.737691059597
0.5,12,1,8,1008.0681149133632
0.5,12,1,9,1015.4293704733498
0.5,12,1,10,1022.3610775285789
0.5,12,1,11,1020.8364385059897
0.5,12,1,12,1006.9663555071004
0.5,12,1,13,1016.6755610715107
0.5,12,1,14,1012.0295804769876
0.5,12,1,15,1009.1560843971426
0.5,12,1,16,1018.54382161886
0.5,12,1,17,1038.5727886732525
0.5,12,1,18,1013.8002334927163
0.5,12,1,19,1004.1049037823457
0.5,12,1,20,1004.4947496157554
0.5,12,1,21,1023.1398718043142
0.5,12,1,22,1020.4023926386722
0.5,12,1,23,1022.7855298296694
0.5,12,1,24,1009.2270089639774
0.5,12,1,25,1017.601236305353
0.5,12,1,26,1032.0140771365143
0.5,12,1,27,1020.7699846797739
0.5,12,1,28,1023.0443405023411
0.5,12,1,29,1011.7409858034782
